Complaint_ID,Product_ID,Customer_ID,Complaint_Date,Complaint_Type,Resolution_Time_Days,Complaint_Status,Satisfaction_Score,Customer_Loyalty_Score,Customer_Service_Interaction,Brand_Perceived_Image,Customer_Feedback,Additional_Comments
1,6187,9005,2024-12-05 06:32:30.412051392,Late Delivery,2.0,Unresolved,9.858841950610353,7.261280160786941,Positive,Good,"I dunno, but the product just wasn't what I thought. Disappointed.","Took way too long to get fixed, but the service was okay I guess."
2,8300,10911,2024-12-05 06:32:30.412051392,Packaging Issue,19.0,Resolved,9.77123581264165,9.901661176366146,Negative,Poor,Got the wrong item... so frustrating! What a waste of time.,Package came way late. Not ordering from here again.
3,8562,4036,2024-12-05 06:32:30.412051392,Late Delivery,8.0,Resolved,5.925331467139537,2.1479853086868608,Neutral,Average,Packaging was fine but the actual product had issues.,"I dunno, but the product just wasn't what I thought. Disappointed."
4,5679,5853,2024-12-05 06:32:30.412051392,Packaging Issue,27.0,Unresolved,9.863499238752242,7.934182039121649,Negative,Excellent,"I dunno, but the product just wasn't what I thought. Disappointed.",The color was different from the online pictures. Product's okay but that's a letdown.
5,6336,7092,2024-12-05 06:32:30.412051392,Late Delivery,11.0,Unresolved,1.5954023874838534,4.161168596883003,Negative,Excellent,Package came way late. Not ordering from here again.,"Took way too long to get fixed, but the service was okay I guess."
6,9930,8412,2024-12-05 06:32:30.412051392,Damaged Product,18.0,Unresolved,3.1781569156343212,3.958061568611777,Negative,Excellent,Package came way late. Not ordering from here again.,"Honestly, the product wasn't great. Wouldn't recommend it."
7,765,9210,2024-12-05 06:32:30.412051392,Incorrect Product,13.0,Pending,4.461581439211724,7.23145165269181,Neutral,Excellent,Packaging was fine but the actual product had issues.,"Took way too long to get fixed, but the service was okay I guess."
8,2705,5881,2024-12-05 06:32:30.412051392,Damaged Product,14.0,Pending,1.6515371637552128,5.517739707092856,Negative,Good,"Took way too long to get fixed, but the service was okay I guess.",Package came way late. Not ordering from here again.
9,3178,7992,2024-12-05 06:32:30.412051392,Late Delivery,28.0,Pending,4.1925416333800385,9.631825964805046,Neutral,Good,"Honestly, the product wasn't great. Wouldn't recommend it.","Honestly, the product wasn't great. Wouldn't recommend it."
10,6411,8554,2024-12-05 06:32:30.412051392,Packaging Issue,25.0,Unresolved,8.472174511393266,7.22766536183344,Positive,Excellent,Packaging was fine but the actual product had issues.,"Honestly, the product wasn't great. Wouldn't recommend it."
11,82,5505,2024-12-05 06:32:30.412051392,Late Delivery,23.0,Pending,7.731376703736382,,Neutral,Poor,Packaging was fine but the actual product had issues.,Got the wrong item... so frustrating! What a waste of time.
12,2212,11091,2024-12-05 06:32:30.412051392,Quality Issue,25.0,Pending,3.293189822555479,3.864333944591945,Positive,Average,The color was different from the online pictures. Product's okay but that's a letdown.,"I dunno, but the product just wasn't what I thought. Disappointed."
13,2628,1681,2024-12-05 06:32:30.412051392,Damaged Product,14.0,Pending,3.5196169488204156,6.415688398728707,Negative,Average,Package came way late. Not ordering from here again.,"Resolution was fine, but the shipping took forever!"
14,8371,7413,2024-12-05 06:32:30.412051392,Packaging Issue,27.0,Unresolved,8.326577067615924,2.3028536311051746,Positive,Excellent,"Arrived in a damaged box, not happy. Seriously?","Took way too long to get fixed, but the service was okay I guess."
15,122,3189,2024-12-05 06:32:30.412051392,Quality Issue,5.0,Unresolved,7.091778209243456,3.982564230300301,Neutral,Average,"Took way too long to get fixed, but the service was okay I guess.",Customer service wasn't helpful. Not coming back.
16,9146,1944,2024-12-05 06:32:30.412051392,Late Delivery,24.0,Resolved,1.4185468278377833,3.0048774029592775,Negative,Poor,Got the wrong item... so frustrating! What a waste of time.,"Resolution was fine, but the shipping took forever!"
17,6154,7863,2024-12-05 06:32:30.412051392,Packaging Issue,14.0,Resolved,2.1220041707858,2.4339701742646445,Neutral,Poor,,"Honestly, the product wasn't great. Wouldn't recommend it."
18,7377,8195,2024-12-05 06:32:30.412051392,Late Delivery,28.0,Pending,6.503292700829498,8.833974944214727,Negative,Good,"Honestly, the product wasn't great. Wouldn't recommend it.","Arrived in a damaged box, not happy. Seriously?"
19,8598,1469,2024-12-05 06:32:30.412051392,Late Delivery,21.0,Pending,4.940109420386586,2.4459952992610496,Positive,Excellent,Customer service wasn't helpful. Not coming back.,"Took way too long to get fixed, but the service was okay I guess."
20,6563,1217,2024-12-05 06:32:30.412051392,Quality Issue,12.0,Unresolved,1.8825516381979908,2.95238076910248,Positive,Excellent,Packaging was fine but the actual product had issues.,Got the wrong item... so frustrating! What a waste of time.
21,9520,7171,2024-12-05 06:32:30.412051392,Quality Issue,,Resolved,8.067820753222783,2.5383138517624357,Negative,Good,"I dunno, but the product just wasn't what I thought. Disappointed.",Package came way late. Not ordering from here again.
22,893,10639,2024-12-05 06:32:30.412051392,Damaged Product,1.0,Resolved,,6.69150465203653,Positive,Good,"I dunno, but the product just wasn't what I thought. Disappointed.",
23,8800,3876,2024-12-05 06:32:30.412051392,Quality Issue,18.0,Unresolved,5.325437720396831,9.927163515251156,Positive,Average,The color was different from the online pictures. Product's okay but that's a letdown.,Packaging was fine but the actual product had issues.
24,2997,11044,2024-12-05 06:32:30.412051392,Quality Issue,25.0,Unresolved,9.581036173047012,2.3524810637753113,Positive,Good,Package came way late. Not ordering from here again.,"Resolution was fine, but the shipping took forever!"
25,7463,5098,2024-12-05 06:32:30.412051392,Quality Issue,26.0,Unresolved,6.113209717229051,2.0035438338294753,Neutral,Excellent,The color was different from the online pictures. Product's okay but that's a letdown.,Packaging was fine but the actual product had issues.
26,3513,6406,2024-12-05 06:32:30.412051392,Incorrect Product,23.0,Unresolved,,3.3302844233263786,Positive,Excellent,"Honestly, the product wasn't great. Wouldn't recommend it.",Customer service wasn't helpful. Not coming back.
27,7233,5449,2024-12-05 06:32:30.412051392,Late Delivery,22.0,Pending,,2.5577651965224915,Positive,Good,,"Honestly, the product wasn't great. Wouldn't recommend it."
28,9033,9713,2024-12-05 06:32:30.412051392,Damaged Product,17.0,Pending,4.874090220482145,9.944077933701479,Negative,Good,"Arrived in a damaged box, not happy. Seriously?",Customer service wasn't helpful. Not coming back.
